Train Accuracy: 0.86286, Test Accuracy: 0.8639
Train Accuracy: 0.86948, Test Accuracy: 0.8716
Train Accuracy: 0.8633, Test Accuracy: 0.8661
Train Accuracy: 0.8674, Test Accuracy: 0.8693
Train Accuracy: 0.86158, Test Accuracy: 0.8647
Train Accuracy: 0.86086, Test Accuracy: 0.8665
Train Accuracy: 0.86792, Test Accuracy: 0.8688
Train Accuracy: 0.86256, Test Accuracy: 0.8668
Train Accuracy: 0.86766, Test Accuracy: 0.8693
Train Accuracy: 0.85918, Test Accuracy: 0.8617
Train Accuracy: 0.86564, Test Accuracy: 0.8654999999999999
Train Accuracy: 0.8661, Test Accuracy: 0.8674
Train Accuracy: 0.86748, Test Accuracy: 0.8681
Train Accuracy: 0.86598, Test Accuracy: 0.8689
Train Accuracy: 0.8646, Test Accuracy: 0.869
Train Accuracy: 0.86726, Test Accuracy: 0.8691
Train Accuracy: 0.8679399999999999, Test Accuracy: 0.8673
Train Accuracy: 0.86864, Test Accuracy: 0.8699
Train Accuracy: 0.86786, Test Accuracy: 0.8723
